[32m[I 2022-01-22 20:30:13,176][0m A new study created in memory with name: no-name-825e49d0-95e9-4327-ba43-857368d01008[0m
[32m[I 2022-01-23 00:43:19,814][0m Trial 74 finished with value: 96.35086822509766 and parameters: {'r_scaling': 0.6029060855137252, 'unroll': 2, 'update_epoch': 11, 'discount': 0.9338317823431251, 'lr': 0.0001839388129350866, 'entropy': 0.012436878564190524}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 00:46:56,089][0m Trial 75 finished with value: 127.04352569580078 and parameters: {'r_scaling': 0.969018803144145, 'unroll': 1, 'update_epoch': 10, 'discount': 0.9356747587264898, 'lr': 0.00024505179395497716, 'entropy': 0.0002400334931896314}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 00:50:44,372][0m Trial 76 finished with value: 115.0284652709961 and parameters: {'r_scaling': 0.14312126067327213, 'unroll': 1, 'update_epoch': 13, 'discount': 0.9247914857506225, 'lr': 0.00010874359420208414, 'entropy': 0.01676475997519603}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 00:53:40,498][0m Trial 77 finished with value: 107.1209487915039 and parameters: {'r_scaling': 1.4544172939644582, 'unroll': 14, 'update_epoch': 11, 'discount': 0.9459948870812692, 'lr': 0.00012228100511670176, 'entropy': 0.02578638799075962}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 00:57:03,329][0m Trial 78 finished with value: 99.68919372558594 and parameters: {'r_scaling': 0.10228586865667978, 'unroll': 2, 'update_epoch': 15, 'discount': 0.9385465350060235, 'lr': 0.00015698483725153767, 'entropy': 0.07501272038571374}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:00:23,890][0m Trial 79 finished with value: 99.35479736328125 and parameters: {'r_scaling': 0.2959060819225822, 'unroll': 2, 'update_epoch': 5, 'discount': 0.9317973685840893, 'lr': 0.00017525587010572077, 'entropy': 0.007236558475981586}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:04:02,284][0m Trial 80 finished with value: 63.760101318359375 and parameters: {'r_scaling': 0.18170318241716885, 'unroll': 1, 'update_epoch': 14, 'discount': 0.942226696534729, 'lr': 0.00010112883331497117, 'entropy': 0.03340636456273937}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:07:37,087][0m Trial 81 finished with value: -38.33460235595703 and parameters: {'r_scaling': 0.05939127927956235, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9277836879515682, 'lr': 0.00014887633435943512, 'entropy': 0.020884160773145557}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:11:16,741][0m Trial 82 finished with value: -254.12973022460938 and parameters: {'r_scaling': 0.4218213354400846, 'unroll': 1, 'update_epoch': 9, 'discount': 0.928325462605646, 'lr': 0.00013673995947100938, 'entropy': 0.011422188877302456}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:14:40,725][0m Trial 83 finished with value: 99.34304809570312 and parameters: {'r_scaling': 0.5675308575811585, 'unroll': 3, 'update_epoch': 12, 'discount': 0.9351412566124628, 'lr': 0.00012887323333977445, 'entropy': 0.008747891662826699}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:17:52,230][0m Trial 84 finished with value: -205.06033325195312 and parameters: {'r_scaling': 0.4827718000477261, 'unroll': 1, 'update_epoch': 10, 'discount': 0.9250285223203545, 'lr': 0.00011517012464662394, 'entropy': 0.011445693130343902}. Best is trial 73 with value: -956.888427734375.[0m
[32m[I 2022-01-23 01:21:16,371][0m Trial 85 finished with value: 93.74141693115234 and parameters: {'r_scaling': 0.445229354148733, 'unroll': 2, 'update_epoch': 10, 'discount': 0.9207288972416159, 'lr': 0.00011646360420136465, 'entropy': 0.011573848429202092}. Best is trial 73 with value: -956.888427734375.[0m
